ProductID,ProductName,Price_AED,Category,Manufacturer
P085,PS5 Wireless Controller,299.00,Gaming,manu5
P086,Razer Kraken Headset,279.00,Gaming,manu1
P091,Organic Honey 1kg,39.00,Grocery,manu1
P092,California Almonds 1kg,29.00,Grocery,manu2
P093,Basmati Rice 5kg,27.00,Grocery,manu3
P094,Nescafé Gold 200g,32.00,Grocery,manu4
P095,Amul Pure Ghee 1L,45.00,Grocery,manu5
P037,Smart LED Bulb 9W,18.00,Home,manu2
P066,IKEA LED Floor Lamp,79.00,Home,manu1
P070,Memory Foam Pillow,59.00,Home,manu5
P063,Prestige Cooker Set 8pcs,159.00,Home & Kitchen,manu3
P064,Glass Food Storage Set,49.00,Home & Kitchen,manu4
P065,Stainless Steel Knife Set,69.00,Home & Kitchen,manu5
P005,Dyson V15 Detect Vacuum,2599.00,Home Appliances,manu5
P006,Nutribullet 1000 Series,399.00,Home Appliances,manu1
P007,Philips Air Fryer XXL,899.00,Home Appliances,manu2
P035,Xiaomi Robot Vacuum S10,849.00,Home Appliances,manu5
P036,Electric Kettle Stainless Steel,69.00,Home Appliances,manu1
P058,Black+Decker Steam Iron,49.00,Home Appliances,manu3
P059,Toshiba Microwave 20L,249.00,Home Appliances,manu4
P060,Krypton Electric Oven,299.00,Home Appliances,manu5
P061,Geepas Blender 750W,129.00,Home Appliances,manu1
P062,Delonghi Coffee Machine,699.00,Home Appliances,manu2
P024,Dettol Antibacterial Wipes,16.00,Personal Care,manu4
P025,Nivea Soft Moisturizer 300ml,22.00,Personal Care,manu5
P018,Ring Doorbell Pro 2,899.00,Smart Home,manu3
P019,Google Nest Mini,199.00,Smart Home,manu4
P020,Amazon Echo Dot 5th Gen,229.00,Smart Home,manu5
P033,Gym Dumbbells Set 10KG,129.00,Sports,manu3
P034,Yoga Mat Non-Slip,39.00,Sports,manu4
P096,Protein Powder Whey 2kg,149.00,Sports,manu1
P097,Treadmill Electric Foldable,1399.00,Sports,manu2
P098,Adjustable Dumbbell 24KG,399.00,Sports,manu3
P099,Bicycle Helmet Adult,89.00,Sports,manu4
P100,Football – Adidas UEFA,129.00,Sports,manu5
P009,Apple Watch Series 9,1599.00,Wearables,manu4
P010,Fitbit Versa 4,899.00,Wearables,manu5
P079,Smart Fitness Band,69.00,Wearables,manu4
